lr,wd,Train_Loss,Val_Loss
0.01,5e-06,0.02179332852269275,0.022442992652455963
0.01,1e-05,0.022037066517688553,0.022501328711708388
0.005,5e-06,0.02217285460026204,0.022681077818075813
0.005,1e-05,0.022197460126964857,0.02269616350531578
0.005,5e-05,0.02332960412629294,0.023906874159971874
0.01,5e-05,0.023308898352935342,0.024007523308197654
0.001,1e-05,0.024273217562193108,0.024486503005027766
0.001,5e-06,0.024425957257611836,0.024646669626235962
0.001,5e-05,0.024729305794973414,0.02499285824596882
0.001,1e-06,0.025461945766072233,0.02566116365293662
0.0005,5e-06,0.025803816002569622,0.025887735188007355
0.005,0.0001,0.025537955518890532,0.025967134659488994
0.01,0.0001,0.025750691626016606,0.026367785781621935
0.01,1e-06,0.0269146462941723,0.02725153888265292
0.0005,1e-06,0.028486647661225203,0.028574256226420403
0.0005,1e-05,0.029742041393674378,0.02969170821209749
0.05,1e-05,0.028997159978759943,0.029941065609455104
0.0005,5e-05,0.03015513102590786,0.030095379799604416
0.0005,0.0001,0.03135513543516775,0.03115703302125136
0.05,0.0001,0.0309714821116205,0.03217673773566882
0.05,1e-06,0.03384924335601711,0.03400133748849233
0.0001,1e-05,0.0437646758471486,0.043508309125900264
0.0001,5e-05,0.046495994614272174,0.04627996136744817
0.0001,1e-06,0.050434357921282445,0.05017861997087797
0.0001,5e-06,0.05125884558643973,0.05089001581072807
0.0001,0.0001,0.05383316226272141,0.053710929801066724
0.005,1e-06,0.05373966782845022,0.05399824492633343
0.001,0.0001,0.06048968908090128,0.06049244602521261
0.01,0.0005,0.06240642823687586,0.0624966765443484
0.001,0.0005,0.06272515802946775,0.06272478724519413
0.005,0.0005,0.06264826450732691,0.06273566260933876
0.05,0.0005,0.06299215900684207,0.06309248109658559
0.0005,0.0005,0.06319406462306713,0.06315814306338628
0.0001,0.0005,0.06581202053193805,0.06571442385514577
0.05,5e-06,0.06744417652550629,0.06746198882659277
0.05,5e-05,0.07852835904822571,0.07831153025229771
